"","x"
"1","SK05"
"2","SK06"
"3","SK07"
"4","SK08"
"5","SK09"
"6","SE00"
"7","SE01"
"8","SK15"
"9","SK16"
"10","SK17"
"11","SK18"
"12","SK19"
"13","SE10"
"14","SE11"
"15","SK25"
"16","SK26"
"17","SK27"
"18","SK28"
"19","SK29"
"20","SE20"
"21","SE21"
"22","SK35"
"23","SK36"
"24","SK37"
"25","SK39"
"26","SE30"
"27","SE31"
"28","SK45"
"29","SK46"
"30","SK47"
"31","SK48"
"32","SK49"
"33","SE40"
"34","SE41"
"35","SK55"
"36","SK56"
"37","SK57"
"38","SK58"
"39","SK59"
"40","SE50"
"41","SE51"
"42","SK65"
"43","SK66"
"44","SK67"
"45","SK68"
"46","SK69"
"47","SE60"
"48","SE61"
