"observationID","fullVersion","datasetKey","surveyKey","sampleKey","observationKey","siteKey","siteName","featureID","location","resolution","taxonVersionKey","pTaxonVersionKey","pTaxonName","pTaxonAuthority","startDate","endDate","sensitive","absence","publicAttribute","dateTypekey","latitude","longitude"
"230092647","FALSE","GA000599","no key","no key-SAMPLE","WIN1643","NBN-SITE-GA000599-8651335","Site name unavailable","146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1981-11-14,1984-02-29,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"231745759","FALSE","GA000600","no key","no key-SAMPLE","SHA3471","NBN-SITE-GA000600-8655181","Site name unavailable","146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1968-04-01,1972-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"248034034","FALSE","GA000147","no key","no key-SAMPLE","GIBTET20430",NA,NA,"146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"248327945","FALSE","GA000147","no key","no key-SAMPLE","GIB3397","NBN-SITE-GA000147-8630431","Site name unavailable","146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"248344975","FALSE","GA000147","no key","no key-SAMPLE","GIBTET20429",NA,NA,"146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"248368480","FALSE","GA000147","no key","no key-SAMPLE","GIBTET20438",NA,NA,"146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"248480550","FALSE","GA000147","no key","no key-SAMPLE","GIBTET20431",NA,NA,"146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"248649389","FALSE","GA000147","no key","no key-SAMPLE","GIBTET20436",NA,NA,"146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"248717522","FALSE","GA000147","no key","no key-SAMPLE","GIBTET20434",NA,NA,"146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"248893454","FALSE","GA000147","no key","no key-SAMPLE","GIBTET20432",NA,NA,"146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"249045704","FALSE","GA000147","no key","no key-SAMPLE","GIBTET20433",NA,NA,"146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"249144720","FALSE","GA000147","no key","no key-SAMPLE","GIBTET20428",NA,NA,"146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"249420866","FALSE","GA000147","no key","no key-SAMPLE","GIBTET20435",NA,NA,"146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"249452368","FALSE","GA000147","no key","no key-SAMPLE","GIBTET20437",NA,NA,"146886","SK05","10km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1988-04-01,1991-07-31,"FALSE","FALSE","FALSE","OO",53.0921885655727,-1.92679148208543
"450234763","FALSE","GA000009","SR0000110000002Y","SR00001100008OY6","SR0000110001FYKY",NA,NA,"146886","SK05","10km","NBNSYS0000165260","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2013-04-05,2013-04-05,"FALSE","FALSE","FALSE","D",53.0921885655727,-1.92679148208543
"450234775","FALSE","GA000009","SR0000110000002Y","SR00001100008OY7","SR0000110001FYLA",NA,NA,"146886","SK05","10km","NBNSYS0000165260","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2013-04-27,2013-04-27,"FALSE","FALSE","FALSE","D",53.0921885655727,-1.92679148208543
"450234788","FALSE","GA000009","SR0000110000002Y","SR00001100008OY8","SR0000110001FYLN",NA,NA,"146886","SK05","10km","NBNSYS0000165260","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2013-05-25,2013-05-25,"FALSE","FALSE","FALSE","D",53.0921885655727,-1.92679148208543
"450234800","FALSE","GA000009","SR0000110000002Y","SR00001100008OY9","SR0000110001FYLZ",NA,NA,"146886","SK05","10km","NBNSYS0000165260","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2013-04-05,2013-04-05,"FALSE","FALSE","FALSE","D",53.0921885655727,-1.92679148208543
"450234815","FALSE","GA000009","SR0000110000002Y","SR00001100008OYC","SR0000110001FYME",NA,NA,"146886","SK05","10km","NBNSYS0000165260","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2013-04-05,2013-04-05,"FALSE","FALSE","FALSE","D",53.0921885655727,-1.92679148208543
"450234846","FALSE","GA000009","SR0000110000002Y","SR00001100008OYM","SR0000110001FYN9",NA,NA,"146886","SK05","10km","NBNSYS0000165260","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2013-05-25,2013-05-25,"FALSE","FALSE","FALSE","D",53.0921885655727,-1.92679148208543
"450243334","FALSE","GA000009","SR0000110000002Y","SR00001100009EJP","SR0000110001KVPM",NA,NA,"146886","SK05","10km","NBNSYS0000165260","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2015-03-30,2015-03-30,"FALSE","FALSE","FALSE","D",53.0921885655727,-1.92679148208543
"450285954","FALSE","GA000548","SR0000110000004K","SR00001100000B76","SR00001100005TQ5",NA,NA,"146886","SK05","10km","NBNSYS0000000082","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1978-01-01,1978-12-31,"FALSE","FALSE","FALSE","Y",53.0921885655727,-1.92679148208543
